Id,Class,Year,Season,State,Follow Up
1330,Class A,1960,Unknown,Kansas,yes
1495,Class A,1960,Summer,Washington,yes
15610,Class A,1960,Summer,Missouri,yes
57998,Class B,1960,Summer,New York,yes
1691,Class B,1961,Winter,Washington,no
5232,Class B,1961,Spring,California,yes
6097,Class A,1961,Fall,Georgia,yes
7234,Class A,1961,Fall,Arkansas,yes
12951,Class A,1961,Summer,Pennsylvania,yes
28678,Class B,1961,Spring,Florida,yes
38547,Class A,1961,Summer,West Virginia,yes
445,Class A,1962,Summer,Florida,yes
751,Class A,1962,Spring,North Dakota,no
9962,Class A,1962,Spring,Utah,yes
24238,Class A,1962,Spring,Michigan,yes
25009,Class A,1962,Summer,California,yes
28668,Class A,1962,Spring,Michigan,yes
801,Class A,1963,Summer,Michigan,no
1063,Class A,1963,Fall,Texas,yes
1643,Class A,1963,Spring,California,yes
1953,Class B,1963,Winter,California,no
2200,Class A,1963,Summer,California,no
2309,Class B,1963,Winter,California,no
2310,Class B,1963,Winter,California,no
5299,Class A,1963,Spring,Washington,yes
5720,Class A,1963,Spring,Idaho,yes
6758,Class A,1963,Summer,Idaho,yes
6961,Class A,1963,Summer,California,yes
6992,Class B,1963,Spring,Florida,yes
7026,Class A,1963,Summer,Ohio,yes
7759,Class B,1963,Summer,California,yes
8405,Class A,1963,Summer,Georgia,yes
9546,Class A,1963,Fall,Pennsylvania,yes
41995,Class A,1963,Unknown,Florida,yes
975,Class B,1964,Summer,South Carolina,no
1256,Class A,1964,Fall,Alaska,no
2396,Class B,1964,Unknown,Texas,no
2553,Class B,1964,Summer,Colorado,yes
4141,Class A,1964,Unknown,Texas,no
5381,Class B,1964,Fall,South Carolina,yes
6962,Class B,1964,Winter,California,yes
8183,Class A,1964,Unknown,California,yes
15273,Class A,1964,Summer,Colorado,yes
24648,Class A,1964,Summer,California,yes
28095,Class B,1964,Summer,Utah,yes
30367,Class A,1964,Fall,Illinois,yes
1939,Class A,1965,Fall,North Carolina,yes
3150,Class A,1965,Summer,Washington,no
4236,Class B,1965,Summer,Georgia,yes
5652,Class A,1965,Summer,Michigan,yes
6347,Class A,1965,Summer,Washington,yes
6963,Class A,1965,Summer,California,yes
9202,Class A,1965,Summer,California,yes
20002,Class A,1965,Summer,Michigan,yes
25470,Class A,1965,Summer,Wisconsin,yes
40475,Class B,1965,Fall,Illinois,yes
1473,Class A,1966,Fall,California,yes
1792,Class A,1966,Summer,California,yes
8059,Class A,1966,Summer,California,yes
13816,Class B,1966,Spring,Washington,yes
14237,Class B,1966,Fall,Missouri,yes
16308,Class A,1966,Summer,New Jersey,yes
22561,Class B,1966,Winter,New York,yes
34555,Class A,1966,Summer,Oklahoma,yes
1563,Class A,1967,Fall,California,yes
1564,Class B,1967,Fall,Washington,no
1564,Class B,1967,Fall,Washington,no
1596,Class A,1967,Summer,Washington,no
1644,Class A,1967,Fall,Washington,yes
1801,Class A,1967,Summer,Idaho,no
1973,Class A,1967,Spring,Washington,yes
2462,Class B,1967,Winter,Indiana,no
7830,Class B,1967,Summer,Ohio,yes
12294,Class A,1967,Spring,California,yes
18516,Class A,1967,Fall,North Carolina,yes
23956,Class A,1967,Summer,Pennsylvania,yes
24404,Class A,1967,Summer,Missouri,yes
25082,Class B,1967,Summer,Wisconsin,yes
29409,Class A,1967,Spring,Michigan,yes
43968,Class A,1967,Fall,Michigan,yes
44487,Class A,1967,Summer,Alabama,yes
46494,Class A,1967,Spring,Illinois,yes
629,Class B,1968,Fall,California,yes
677,Class A,1968,Unknown,Oregon,no
847,Class A,1968,Fall,Connecticut,yes
925,Class B,1968,Summer,Washington,no
1344,Class A,1968,Unknown,Mississippi,no
605,,,,,no
284,,,,,no
1526,Class A,1968,Fall,Texas,no
1795,Class B,1968,Summer,Idaho,no
2347,Class A,1968,Fall,Utah,no
2876,Class A,1968,Summer,California,no
2907,Class A,1968,Fall,California,yes
3467,Class C,1968,Summer,Illinois,yes
4953,Class A,1968,Summer,Ohio,no
5816,Class B,1968,Summer,Oregon,yes
6534,Class A,1968,Summer,Indiana,yes
6960,Class B,1968,Fall,North Carolina,yes
12984,Class A,1968,Fall,Illinois,yes
13674,Class B,1968,Summer,South Carolina,yes
19170,Class A,1968,Summer,Pennsylvania,yes
37448,Class B,1968,Fall,Michigan,yes
42730,Class B,1968,Spring,Illinois,yes
661,Class B,1969,Summer,Oregon,no
700,Class A,1969,Spring,Oregon,no
1451,Class A,1969,Winter,New York,no
1524,Class B,1969,Summer,New York,yes
1620,Class B,1969,Winter,Washington,no
1621,Class A,1969,Winter,Washington,no
1944,Class A,1969,Summer,Arkansas,yes
2271,Class A,1969,Fall,New Jersey,yes
2935,Class B,1969,Fall,California,yes
3566,Class A,1969,Summer,Pennsylvania,no
4741,Class A,1969,Summer,Idaho,yes
5452,Class A,1969,Fall,Washington,yes
5453,Class A,1969,Fall,Washington,yes
6444,Class C,1969,Summer,Tennessee,no
10510,Class A,1969,Fall,Idaho,yes
259,,,,,no
260,,,,,no
351,,,,,no
258,,,,,no
14376,Class A,1969,Summer,Texas,yes
22448,Class A,1969,Summer,Missouri,yes
24147,Class A,1969,Summer,Illinois,yes
24421,Class A,1969,Fall,West Virginia,yes
28714,Class A,1969,Summer,Illinois,yes
29124,Class A,1969,Fall,West Virginia,yes
50155,Class B,1969,Summer,Illinois,yes
50155,Class B,1969,Summer,Illinois,yes
232,Class A,1970,Summer,Maryland,yes
454,Class B,1970,Summer,New York,yes
459,Class A,1970,Summer,New Jersey,yes
642,Class A,1970,Summer,New Jersey,yes
1234,Class A,1970,Summer,Iowa,no
1372,Class A,1970,Fall,Colorado,no
1384,Class B,1970,Summer,Washington,no
1895,Class B,1970,Winter,Washington,yes
2182,Class B,1970,Summer,California,no
2602,Class B,1970,Spring,Washington,yes
2782,Class B,1970,Summer,California,yes
2957,Class A,1970,Summer,Arkansas,yes
3050,Class A,1970,Fall,Oregon,yes
4011,Class A,1970,Fall,Iowa,yes
4669,Class B,1970,Summer,Washington,yes
4968,Class B,1970,Fall,Ohio,no
5692,Class B,1970,Fall,Nevada,no
6027,Class B,1970,Summer,Oregon,yes
8407,Class A,1970,Fall,Washington,no
13037,Class B,1970,Summer,Oregon,yes
13673,Class A,1970,Summer,South Carolina,yes
15540,Class B,1970,Summer,California,yes
16714,Class B,1970,Summer,Iowa,yes
23645,Class A,1970,Spring,Tennessee,yes
23929,Class A,1970,Fall,Michigan,yes
447,,,,,no
24569,Class A,1970,Summer,Virginia,yes
25764,Class B,1970,Winter,Oregon,yes
28711,Class A,1970,Fall,Minnesota,yes
35477,Class A,1970,Spring,Virginia,yes
38797,Class B,1970,Summer,Utah,yes
44740,Class B,1970,Fall,Iowa,yes
47911,Class A,1970,Fall,Illinois,yes
50659,Class B,1970,Fall,Washington,yes
56107,Class A,1970,Spring,Louisiana,yes
56809,Class B,1970,Winter,Tennessee,yes
513,Class A,1971,Summer,Colorado,yes
604,Class A,1971,Summer,Oregon,no
1120,Class A,1971,Summer,Missouri,yes
1228,Class B,1971,Fall,Colorado,yes
1645,Class A,1971,Summer,Washington,no
1954,Class B,1971,Summer,California,no
2385,Class B,1971,Summer,Kentucky,no
2909,Class B,1971,Fall,Oklahoma,yes
3606,Class A,1971,Fall,Colorado,no
4307,Class A,1971,Summer,Ohio,no
4983,Class A,1971,Summer,Ohio,no
5563,Class A,1971,Spring,Pennsylvania,no
10046,Class A,1971,Fall,New Jersey,yes
11930,Class B,1971,Winter,Washington,yes
14707,Class A,1971,Fall,Pennsylvania,yes
19938,Class A,1971,Summer,Michigan,yes
23018,Class A,1971,Fall,Louisiana,yes
23227,Class A,1971,Fall,Louisiana,yes
25531,Class A,1971,Fall,Oregon,yes
36761,Class A,1971,Fall,Missouri,yes
39858,Class B,1971,Fall,Washington,yes
47215,Class B,1971,Summer,Montana,yes
160,Class B,1972,Summer,California,yes
809,Class B,1972,Summer,Michigan,no
1081,Class A,1972,Summer,Minnesota,no
1136,Class A,1972,Summer,Missouri,no
1226,Class A,1972,Summer,Washington,no
1370,Class A,1972,Spring,Colorado,no
1377,Class A,1972,Fall,Colorado,no
1612,Class B,1972,Summer,Washington,yes
1632,Class B,1972,Summer,Texas,no
1636,Class A,1972,Fall,Arkansas,no
1652,Class A,1972,Spring,Washington,no
1853,Class A,1972,Summer,Arizona,yes
2390,Class A,1972,Fall,Kentucky,no
2830,Class A,1972,Fall,Michigan,yes
3471,Class C,1972,Fall,Illinois,no
3525,Class B,1972,Winter,Michigan,yes
3554,Class A,1972,Fall,Pennsylvania,no
3801,Class A,1972,Fall,Minnesota,yes
4959,Class A,1972,Summer,Ohio,no
5697,Class A,1972,Summer,Nevada,no
5770,Class B,1972,Summer,Nevada,yes
5771,Class A,1972,Summer,Washington,no
7653,Class A,1972,Summer,Texas,yes
7715,Class A,1972,Fall,Louisiana,no
8487,Class A,1972,Summer,California,yes
10595,Class A,1972,Summer,Oklahoma,yes
15120,Class B,1972,Fall,Idaho,yes
24052,Class B,1972,Winter,Arizona,yes
26605,Class A,1972,Fall,Kentucky,yes
27035,Class B,1972,Fall,New York,yes
27768,Class A,1972,Summer,Texas,yes
28423,Class A,1972,Fall,Illinois,yes
31912,Class A,1972,Summer,Texas,yes
37304,Class A,1972,Summer,Florida,yes
41634,Class B,1972,Summer,Oregon,yes
63178,Class B,1972,Winter,Ohio,yes
1186,Class A,1973,Summer,Maine,no
1219,Class B,1973,Summer,Minnesota,yes
1338,Class A,1973,Winter,Mississippi,no
1383,Class A,1973,Spring,Washington,yes
1680,Class B,1973,Summer,Washington,no
1809,Class A,1973,Spring,Washington,yes
2144,Class B,1973,Summer,New York,no
2376,Class B,1973,Fall,Mississippi,yes
2428,Class A,1973,Summer,Kentucky,yes
2856,Class A,1973,Spring,Florida,yes
2996,Class B,1973,Fall,California,no
3292,Class A,1973,Fall,Idaho,yes
3333,Class A,1973,Fall,North Carolina,no
3472,Class C,1973,Summer,Illinois,yes
4323,Class B,1973,Fall,Washington,yes
5021,Class B,1973,Spring,Louisiana,no
5059,Class B,1973,Spring,Missouri,yes
6094,Class A,1973,Summer,Indiana,yes
7562,Class A,1973,Fall,Oregon,yes
9765,Class A,1973,Fall,Oklahoma,yes
10153,Class A,1973,Summer,Indiana,yes
10538,Class A,1973,Summer,Indiana,yes
13874,Class A,1973,Summer,New York,yes
18623,Class A,1973,Fall,Virginia,yes
23400,Class A,1973,Summer,Virginia,yes
577,,,,,no
24405,Class A,1973,Winter,Arizona,yes
26888,Class A,1973,Summer,Pennsylvania,yes
26905,Class A,1973,Spring,Illinois,yes
27978,Class B,1973,Summer,Iowa,yes
32162,Class A,1973,Summer,Illinois,yes
33014,Class A,1973,Summer,Ohio,yes
42547,Class B,1973,Summer,Illinois,yes
50534,Class B,1973,Summer,Missouri,yes
56954,Class A,1973,Spring,Arkansas,yes
58048,Class A,1973,Summer,Washington,yes
447,Class A,1974,Summer,Georgia,yes
652,Class A,1974,Summer,Oregon,no
655,Class B,1974,Fall,Oregon,no
861,Class A,1974,Fall,Michigan,yes
875,Class A,1974,Summer,California,yes
883,Class B,1974,Spring,Maine,yes
967,Class B,1974,Summer,Washington,no
1149,Class A,1974,Fall,Nebraska,no
1446,Class B,1974,Fall,Oregon,yes
1742,Class A,1974,Fall,California,yes
2100,Class B,1974,Spring,Georgia,no
2379,Class A,1974,Spring,Texas,no
2712,Class A,1974,Summer,Pennsylvania,yes
3385,Class A,1974,Fall,Ohio,no
6391,Class A,1974,Summer,Idaho,yes
6496,Class A,1974,Fall,Rhode Island,yes
6644,Class A,1974,Fall,Oklahoma,yes
7464,Class B,1974,Fall,Georgia,yes
7860,Class A,1974,Summer,California,yes
9502,Class A,1974,Fall,Missouri,yes
9954,Class B,1974,Fall,Idaho,yes
10151,Class A,1974,Fall,Michigan,yes
10660,Class A,1974,Fall,Kansas,yes
11328,Class B,1974,Spring,Tennessee,yes
11487,Class A,1974,Spring,South Carolina,yes
11812,Class A,1974,Fall,Florida,yes
12247,Class A,1974,Spring,California,yes
13729,Class A,1974,Fall,Oregon,no
14223,Class B,1974,Spring,Ohio,yes
15744,Class B,1974,Summer,Oregon,yes
20870,Class A,1974,Fall,Nebraska,yes
24562,Class A,1974,Fall,Washington,yes
24620,Class B,1974,Summer,Michigan,yes
26963,Class A,1974,Spring,West Virginia,yes
27778,Class B,1974,Winter,Florida,yes
27983,Class A,1974,Summer,California,yes
43911,Class B,1974,Fall,Washington,yes
44837,Class A,1974,Summer,Florida,yes
45041,Class B,1974,Summer,Illinois,yes
45551,Class B,1974,Summer,Florida,yes
93,,,,,no
176,,,,,no
90,,,,,no
87,,,,,no
86,,,,,no
55386,Class B,1974,Fall,Illinois,yes
113,Class B,1975,Fall,Kansas,yes
400,Class A,1975,Fall,Texas,yes
510,Class A,1975,Fall,Arizona,yes
592,Class A,1975,Winter,Florida,no
669,Class B,1975,Fall,Oregon,no
671,Class A,1975,Fall,Oregon,no
695,Class B,1975,Fall,Oregon,yes
927,Class B,1975,Summer,Washington,no
1108,Class A,1975,Summer,California,yes
1270,Class A,1975,Fall,Iowa,no
1326,Class A,1975,Fall,Kansas,no
1341,Class A,1975,Summer,Mississippi,no
1366,Class A,1975,Summer,Colorado,no
1721,Class B,1975,Spring,Washington,yes
1722,Class A,1975,Spring,Washington,no
1724,Class A,1975,Fall,Washington,yes
1730,Class A,1975,Fall,Washington,yes
1830,Class C,1975,Summer,Alabama,no
1949,Class A,1975,Spring,Utah,no
1950,Class C,1975,Winter,Utah,no
2050,Class A,1975,Summer,Texas,no
2229,Class A,1975,Summer,California,no
2397,Class B,1975,Unknown,Texas,no
2805,Class A,1975,Winter,Illinois,yes
3300,Class B,1975,Winter,Illinois,yes
3483,Class A,1975,Fall,Missouri,yes
3556,Class A,1975,Summer,Pennsylvania,no
3562,Class A,1975,Summer,Pennsylvania,no
3702,Class A,1975,Summer,Oregon,yes
4237,Class B,1975,Summer,West Virginia,yes
4403,Class B,1975,Summer,Washington,yes
4681,Class A,1975,Summer,Mississippi,yes
4763,Class B,1975,Summer,North Carolina,yes
4994,Class A,1975,Fall,Texas,yes
5260,Class B,1975,Fall,California,no
6235,Class B,1975,Fall,Texas,yes
6384,Class B,1975,Fall,New York,no
6706,Class B,1975,Summer,California,yes
6983,Class A,1975,Fall,Idaho,yes
7809,Class A,1975,Summer,Nebraska,yes
10919,Class A,1975,Summer,Arkansas,yes
723,,,,,no
541,,,,,no
13236,Class B,1975,Fall,California,yes
13310,Class B,1975,Spring,New Jersey,yes
14271,Class B,1975,Fall,Florida,yes
15075,Class A,1975,Summer,Missouri,yes
16683,Class A,1975,Fall,Florida,yes
18584,Class B,1975,Fall,Illinois,no
23771,Class A,1975,Fall,Oregon,yes
26029,Class A,1975,Summer,South Carolina,yes
26587,Class A,1975,Summer,Indiana,yes
28453,Class B,1975,Fall,Indiana,yes
40316,Class B,1975,Fall,Minnesota,yes
40842,Class B,1975,Fall,Illinois,yes
41318,Class A,1975,Fall,Illinois,yes
43648,Class B,1975,Fall,Wisconsin,yes
49019,Class A,1975,Summer,Wisconsin,yes
49084,Class A,1975,Spring,Florida,yes
50178,Class A,1975,Summer,Alabama,yes
62340,Class A,1975,Summer,Arkansas,yes
806,Class A,1976,Summer,Michigan,no
1132,Class B,1976,Summer,Missouri,no
1318,Class A,1976,Summer,Oregon,yes
1356,Class A,1976,Summer,Missouri,yes
1432,Class B,1976,Summer,Wisconsin,yes
1436,Class A,1976,Fall,Utah,no
1634,Class B,1976,Fall,California,yes
1635,Class A,1976,Summer,Oregon,yes
1684,Class B,1976,Summer,Washington,yes
1925,Class A,1976,Winter,Washington,yes
2159,Class A,1976,Fall,Texas,no
2201,Class B,1976,Summer,California,no
2249,Class A,1976,Summer,California,yes
2381,Class A,1976,Summer,Kentucky,no
3122,Class A,1976,Spring,Pennsylvania,yes
3227,Class A,1976,Summer,Minnesota,yes
3547,Class A,1976,Summer,Pennsylvania,no
3560,Class A,1976,Fall,Pennsylvania,no
4837,Class A,1976,Winter,Ohio,yes
4966,Class B,1976,Summer,Ohio,no
6267,Class A,1976,Fall,North Carolina,yes
6394,Class B,1976,Winter,Iowa,no
7124,Class A,1976,Summer,Oregon,yes
7356,Class B,1976,Winter,Georgia,yes
7558,Class B,1976,Winter,Kansas,yes
333,,,,,no
171,,,,,no
7658,Class B,1976,Spring,Oregon,yes
8417,Class A,1976,Fall,New Mexico,yes
8494,Class A,1976,Summer,Ohio,yes
8587,Class A,1976,Fall,Ohio,yes
9661,Class A,1976,Fall,California,yes
9759,Class A,1976,Summer,California,yes
10718,Class B,1976,Fall,California,yes
10861,Class A,1976,Summer,Ohio,yes
11592,Class A,1976,Fall,Texas,yes
13378,Class B,1976,Winter,North Carolina,yes
14525,Class A,1976,Fall,Georgia,yes
23836,Class A,1976,Fall,Missouri,yes
23882,Class B,1976,Summer,Louisiana,yes
24435,Class B,1976,Fall,Ohio,yes
24435,Class B,1976,Fall,Ohio,yes
27687,Class B,1976,Winter,California,yes
27764,Class A,1976,Spring,Washington,yes
28788,Class A,1976,Summer,Washington,yes
30462,Class A,1976,Fall,Virginia,yes
35721,Class B,1976,Winter,Texas,yes
39314,Class B,1976,Summer,Wisconsin,yes
51180,Class B,1976,Winter,Texas,yes
55573,Class B,1976,Unknown,Michigan,yes
57471,Class A,1976,Fall,Arkansas,yes
62297,Class A,1976,Spring,Missouri,yes
374,Class A,1977,Winter,Ohio,yes
440,Class A,1977,Summer,Arizona,yes
496,Class A,1977,Summer,Missouri,yes
726,Class A,1977,Fall,Florida,yes
728,Class A,1977,Winter,Florida,yes
929,Class B,1977,Unknown,Washington,yes
1075,Class A,1977,Summer,Colorado,yes
172,,,,,no
106,,,,,no
105,,,,,no
104,,,,,no
103,,,,,no
102,,,,,no
101,,,,,no
95,,,,,no
100,,,,,no
94,,,,,no
94,,,,,no
1148,Class A,1977,Summer,Missouri,no
1169,Class A,1977,Summer,Maryland,no
1332,Class A,1977,Fall,Kansas,no
1342,Class A,1977,Spring,Mississippi,no
1471,Class B,1977,Summer,Minnesota,yes
1501,Class A,1977,Fall,Louisiana,no
1510,Class A,1977,Summer,California,yes
1530,Class A,1977,Summer,Montana,no
1614,Class A,1977,Summer,Montana,no
1625,Class A,1977,Summer,Ohio,yes
1630,Class A,1977,Fall,Iowa,no
1682,Class A,1977,Summer,Washington,no
1749,Class A,1977,Summer,Washington,yes
1811,Class A,1977,Fall,Michigan,yes
1818,Class B,1977,Summer,Arizona,yes
1880,Class A,1977,Winter,Washington,yes
1955,Class B,1977,Fall,California,no
2061,Class A,1977,Fall,Idaho,no
2180,Class A,1977,Summer,Missouri,yes
2199,Class B,1977,Unknown,California,no
2430,Class A,1977,Summer,Kentucky,no
2459,Class A,1977,Winter,Indiana,no
2579,Class B,1977,Summer,California,no
2750,Class A,1977,Summer,New Jersey,yes
2789,Class B,1977,Summer,Oklahoma,no
2887,Class B,1977,Winter,California,no
2932,Class A,1977,Summer,Pennsylvania,yes
3022,Class A,1977,Fall,Utah,yes
3280,Class A,1977,Summer,Pennsylvania,yes
3550,Class A,1977,Unknown,Pennsylvania,no
3840,Class B,1977,Winter,Pennsylvania,yes
4093,Class A,1977,Fall,Arkansas,no
4137,Class A,1977,Summer,Texas,no
4366,Class B,1977,Summer,California,yes
4556,Class A,1977,Unknown,Ohio,no
4583,Class A,1977,Summer,Washington,yes
4595,Class A,1977,Spring,Oregon,no
4970,Class A,1977,Spring,Ohio,no
4975,Class B,1977,Fall,Ohio,no
5072,Class B,1977,Fall,Iowa,yes
5350,Class B,1977,Summer,Oregon,yes
5637,Class B,1977,Summer,California,yes
6937,Class A,1977,Fall,Texas,yes
7097,Class B,1977,Winter,California,yes
7231,Class B,1977,Winter,California,yes
7352,Class B,1977,Summer,California,yes
7393,Class A,1977,Summer,North Carolina,yes
7555,Class A,1977,Spring,California,yes
7664,Class A,1977,Summer,Texas,yes
8289,Class B,1977,Summer,Texas,yes
8717,Class A,1977,Winter,Massachusetts,yes
9796,Class B,1977,Fall,Minnesota,yes
10397,Class A,1977,Summer,Washington,yes
10533,Class A,1977,Summer,Colorado,yes
11506,Class A,1977,Fall,Pennsylvania,yes
15895,Class B,1977,Winter,Illinois,yes
16470,Class A,1977,Fall,Utah,yes
21154,Class B,1977,Spring,Oregon,yes
21951,Class A,1977,Fall,Florida,yes
22570,Class B,1977,Summer,Oregon,yes
22905,Class A,1977,Spring,New Jersey,yes
24393,Class B,1977,Summer,Georgia,yes
25233,Class B,1977,Fall,Utah,yes
27341,Class B,1977,Spring,Missouri,yes
28197,Class B,1977,Fall,Washington,yes
29032,Class A,1977,Spring,Indiana,yes
524,,,,,no
29336,Class A,1977,Summer,New Jersey,yes
29615,Class A,1977,Fall,Michigan,yes
33358,Class B,1977,Spring,North Carolina,yes
36702,Class B,1977,Fall,Illinois,yes
39852,Class B,1977,Fall,Illinois,yes
40223,Class B,1977,Winter,Michigan,yes
535,,,,,no
534,,,,,no
533,,,,,no
42945,Class A,1977,Fall,Illinois,yes
47378,Class A,1977,Fall,Florida,yes
49883,Class B,1977,Summer,New Jersey,yes
56212,Class B,1977,Fall,Texas,yes
63193,Class B,1977,Summer,Texas,yes
65807,Class A,1977,Fall,Washington,yes
96,Class B,1978,Summer,Oregon,yes
656,Class B,1978,Fall,Oregon,no
662,Class A,1978,Summer,Oregon,no
799,Class A,1978,Spring,Alabama,no
803,Class B,1978,Winter,California,no
912,Class A,1978,Summer,Kentucky,yes
1049,Class A,1978,Fall,Minnesota,no
1062,Class A,1978,Summer,Minnesota,no
1197,Class A,1978,Fall,Iowa,yes
1241,Class A,1978,Spring,Wyoming,yes
1268,Class A,1978,Fall,Iowa,no
1282,Class C,1978,Summer,Louisiana,no
1301,Class A,1978,Summer,California,yes
1312,Class A,1978,Winter,Kansas,no
299,,,,,no
243,,,,,no
1315,Class A,1978,Unknown,Kansas,no
1325,Class A,1978,Summer,Kansas,no
1456,Class B,1978,Unknown,Louisiana,yes
1505,Class A,1978,Summer,New Jersey,no
1631,Class B,1978,Fall,Texas,no
1651,Class A,1978,Spring,Washington,yes
578,,,,,no
578,,,,,no
1731,Class B,1978,Spring,Washington,yes
2219,Class A,1978,Summer,Georgia,no
2383,Class A,1978,Fall,Kentucky,no
2398,Class B,1978,Unknown,Texas,no
2450,Class A,1978,Summer,Ohio,yes
2470,Class B,1978,Summer,Indiana,no
2554,Class A,1978,Fall,Michigan,yes
2581,Class B,1978,Fall,California,no
2901,Class B,1978,Spring,Illinois,no
2901,Class B,1978,Spring,Illinois,no
3180,Class A,1978,Summer,Ohio,yes
3293,Class A,1978,Winter,Ohio,yes
3421,Class A,1978,Spring,California,yes
3612,Class B,1978,Spring,California,yes
3780,Class B,1978,Fall,Oregon,yes
4103,Class A,1978,Summer,Virginia,yes
4475,Class A,1978,Summer,Oregon,yes
4642,Class B,1978,Spring,California,yes
4960,Class B,1978,Fall,Ohio,no
4972,Class B,1978,Fall,Ohio,no
4977,Class A,1978,Summer,Ohio,no
5369,Class A,1978,Summer,Florida,yes
5477,Class B,1978,Winter,California,yes
6170,Class A,1978,Summer,Montana,yes
6425,Class A,1978,Fall,Washington,yes
6631,Class A,1978,Spring,Massachusetts,no
446,,,,,no
245,,,,,no
6643,Class A,1978,Summer,Rhode Island,no
6656,Class B,1978,Summer,Missouri,yes
6724,Class B,1978,Summer,Oregon,yes
246,,,,,no
7003,Class A,1978,Summer,Washington,yes
7225,Class A,1978,Summer,Colorado,yes
7431,Class A,1978,Fall,Ohio,yes
7593,Class B,1978,Summer,Washington,yes
7627,Class B,1978,Summer,Florida,yes
7652,Class B,1978,Spring,Texas,yes
7676,Class B,1978,Fall,California,yes
8836,Class A,1978,Winter,Ohio,yes
8944,Class A,1978,Summer,Ohio,yes
10260,Class B,1978,Summer,Montana,yes
10632,Class A,1978,Summer,Pennsylvania,yes
10977,Class A,1978,Winter,Oregon,yes
12067,Class A,1978,Summer,Kansas,yes
18632,Class A,1978,Summer,South Carolina,yes
19917,Class B,1978,Fall,Wisconsin,yes
20254,Class B,1978,Fall,Utah,yes
21660,Class B,1978,Winter,Missouri,yes
22802,Class A,1978,Fall,Michigan,yes
23367,Class B,1978,Fall,Minnesota,yes
23481,Class A,1978,Summer,Michigan,yes
23730,Class B,1978,Fall,Kentucky,yes
23760,Class B,1978,Spring,Illinois,yes
24032,Class A,1978,Winter,Florida,yes
24945,Class A,1978,Fall,West Virginia,yes
27908,Class A,1978,Summer,North Carolina,yes
28370,Class B,1978,Summer,Illinois,yes
28516,Class A,1978,Fall,Illinois,yes
29055,Class A,1978,Summer,Washington,yes
30384,Class B,1978,Fall,Montana,yes
31427,Class B,1978,Summer,Washington,yes
31444,Class A,1978,Summer,Michigan,yes
32435,Class A,1978,Summer,Georgia,yes
33098,Class B,1978,Summer,Utah,yes
33137,Class B,1978,Fall,Minnesota,yes
33887,Class B,1978,Summer,Virginia,yes
35293,Class A,1978,Fall,Alabama,yes
37044,Class A,1978,Summer,Oregon,yes
41786,Class A,1978,Summer,Illinois,yes
41916,Class A,1978,Spring,Illinois,yes
48156,Class B,1978,Winter,Missouri,yes
62851,Class A,1978,Summer,Arkansas,yes
236,Class A,1979,Winter,Michigan,yes
691,Class B,1979,Summer,Oregon,no
1152,Class A,1979,Fall,Nebraska,no
1502,Class A,1979,Summer,Louisiana,no
1516,Class B,1979,Unknown,Louisiana,no
